WKT,fid,OBJECTID,CODE,school_name,LEVEL,Status,County,DISTRICT,ZONE,SUB_COUNTY,Ward,Long,Lat,Source
MULTIPOINT ((245010.070832832 9860871.9601735)),1,5951,9141,ALMONDLAND E C,Primary,Private,Kiambu,KIKUYU,THOGOTO,Kabete,Uthiru,36.708536,-1.25772,"Ministry of Education, 2016"
MULTIPOINT ((245606.128908242 9860668.50125507)),2,5988,9213,UTHIRU GENESIS,Primary,Private,Kiambu,KIKUYU,THOGOTO,Kabete,Kabete,36.713888,-1.259564,"Ministry of Education, 2016"
MULTIPOINT ((267198.042764212 9860146.84903644)),3,14354,21519,BY GRACE CBO,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.907829,-1.264444,"Ministry of Education, 2016"
MULTIPOINT ((249530.56827844 9857536.40490397)),4,14355,21520,FOUNDATION OF PRAISE EDUCATION,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.749112,-1.28791,"Ministry of Education, 2016"
MULTIPOINT ((265689.672419842 9861978.85341748)),5,14356,21524,ALPHA CARE,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Uthiru/  Ruthimitu,36.894293,-1.24787,"Ministry of Education, 2016"
MULTIPOINT ((261867.417390263 9861023.87332062)),6,14357,21526,JOYCENTRE,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.859952,-1.256476,"Ministry of Education, 2016"
MULTIPOINT ((246961.366073081 9858041.6512993)),7,14358,21529,MARVEL JOY JUNIOR,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Uthiru/  Ruthimitu,36.72604,-1.283322,"Ministry of Education, 2016"
MULTIPOINT ((248782.015272205 9858735.47288954)),8,14359,21531,DAGORETTI MUSLIM,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Gatina,36.742398,-1.277064,"Ministry of Education, 2016"
MULTIPOINT ((244074.210993716 9857410.5132859)),9,14360,21534,DR MUTHIORA,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.700103,-1.289004,"Ministry of Education, 2016"
MULTIPOINT ((243003.976479707 9857669.83569783)),10,14361,21535,GITIBA PRIMARY,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.690492,-1.286651,"Ministry of Education, 2016"
MULTIPOINT ((251678.511538427 9855855.88341193)),11,14362,21536,JAMHURI,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Kibra,Woodley/ Kenyatta Golf Course,36.768392,-1.303119,"Ministry of Education, 2016"
MULTIPOINT ((253379.170201195 9855827.44222389)),12,14363,21537,JOSEPH KANGETHE,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.783667,-1.30339,"Ministry of Education, 2016"
MULTIPOINT ((246044.634031671 9857324.47735298)),13,14364,21538,KABIRIA PRIMARY,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Waithaka,36.7178,-1.289798,"Ministry of Education, 2016"
MULTIPOINT ((244222.777915612 9859111.55480713)),14,14365,21539,KAGIRA PRIMARY,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Uthiru/  Ruthimitu,36.701451,-1.273628,"Ministry of Education, 2016"
MULTIPOINT ((249342.01627936 9857332.17264809)),15,14366,21541,KAWANGWARE PRIMARY SCHOOL,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.747417,-1.289755,"Ministry of Education, 2016"
MULTIPOINT ((248994.585897381 9856808.51413465)),16,14367,21542,KINYANJUI ROAD PRIMARY,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.744292,-1.294486,"Ministry of Education, 2016"
MULTIPOINT ((262590.085838018 9858666.85967997)),17,14368,21543,KIRIGU PRIMARY SCHOOL,Primary,Public,Nairobi,DAGORETTI,DAGORETTI,Dagoreti North,Kawangware,36.866426,-1.277791,"Ministry of Education, 2016"
MULTIPOINT ((255419.012629955 9855094.03312975)),18,14369,21544,MBAGATHI ROAD,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.801984,-1.310037,"Ministry of Education, 2016"
MULTIPOINT ((243418.196236936 9856665.96189759)),19,14370,21546,MUTUINI PRIMARY SCHOOL,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.694204,-1.295729,"Ministry of Education, 2016"
MULTIPOINT ((248524.287494102 9857461.95365816)),20,14371,21547,NDURARUA PRIMARY,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.740073,-1.288575,"Ministry of Education, 2016"
MULTIPOINT ((246325.163591312 9858187.93116104)),21,14372,21548,NEMBU PRIMARY,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.720326,-1.281994,"Ministry of Education, 2016"
MULTIPOINT ((248221.89614595 9858602.5711476)),22,14373,21549,RIRUTA H G M PRIMARY,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kabiro,36.737366,-1.278261,"Ministry of Education, 2016"
MULTIPOINT ((248034.096830917 9857195.46084591)),23,14374,21550,RIRUTA SATELLITE,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.735668,-1.29098,"Ministry of Education, 2016"
MULTIPOINT ((244339.606365379 9858673.35998495)),24,14375,21551,RUTHIMITU PRIMARY SCHOOL,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Uthiru/  Ruthimitu,36.702497,-1.27759,"Ministry of Education, 2016"
MULTIPOINT ((255024.969303131 9855000.28560931)),25,14376,21552,SHADRCAK KIMALEL,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.798444,-1.310881,"Ministry of Education, 2016"
MULTIPOINT ((253113.352544266 9855530.72910285)),26,14377,21553,TOI PRIMARY,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Kibra,Woodley/ Kenyatta Golf Course,36.781277,-1.30607,"Ministry of Education, 2016"
MULTIPOINT ((243759.22360996 9857832.66622649)),27,14378,21554,WAITHAKA SPECIAL,Primary,Public,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.697277,-1.285185,"Ministry of Education, 2016"
MULTIPOINT ((249866.195000282 9858662.76404278)),28,14379,21555,GATINA PRIMARY,Primary,Public,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Gatina,36.752136,-1.27773,"Ministry of Education, 2016"
MULTIPOINT ((247248.348676246 9857261.71690364)),29,14380,21558,ALPHA GLORY SCHOOL,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.728611,-1.290375,"Ministry of Education, 2016"
MULTIPOINT ((263631.691358928 9861185.58331868)),30,14381,21559,AMANI PRIMARY SCHOOL,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.875801,-1.255027,"Ministry of Education, 2016"
MULTIPOINT ((249047.818062015 9858681.31600328)),31,14382,21560,BARBARA JASINKA RISE AND SHINE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.744785,-1.277556,"Ministry of Education, 2016"
MULTIPOINT ((262669.047487129 9861470.94184259)),32,14383,21562,BENSESA,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.867156,-1.25244,"Ministry of Education, 2016"
MULTIPOINT ((248830.611098074 9855690.50572873)),33,14384,21563,BENUM EDUCATION CENTRE,Primary,Private,Nairobi,DAGORETTI,NGANDO,Dagoretti South,Ngando,36.74281,-1.304591,"Ministry of Education, 2016"
MULTIPOINT ((249410.539843054 9857045.69202864)),34,14385,21564,BESURE EARLY CHILDHOOD,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.74803,-1.292345,"Ministry of Education, 2016"
MULTIPOINT ((249168.288590213 9858293.45555495)),35,14386,21565,BIBLE BAPTIST,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.745864,-1.281063,"Ministry of Education, 2016"
MULTIPOINT ((247913.924952372 9857092.71165008)),36,14387,21566,BIGNET EDUCATION CENTRE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.734588,-1.291908,"Ministry of Education, 2016"
MULTIPOINT ((245471.988232739 9858455.70948315)),37,14388,21567,BLUE VIEW,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.712666,-1.279567,"Ministry of Education, 2016"
MULTIPOINT ((248813.178315716 9857989.15619801)),38,14389,21570,BY PROMISE SCH,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.742672,-1.283811,"Ministry of Education, 2016"
MULTIPOINT ((250373.711416213 9858392.60803465)),39,14390,21572,CHILDREN ANGELS OF GOD PROJECT,Primary,Private,Nairobi,DAGORETTI,KAWANGWARE,Dagoreti North,Gatina,36.756692,-1.280176,"Ministry of Education, 2016"
MULTIPOINT ((249908.635265619 9856679.5510216)),40,14391,21576,DAGORETT CORNER,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Ngando,36.752501,-1.295659,"Ministry of Education, 2016"
MULTIPOINT ((249408.441421906 9857479.17456412)),41,14392,21582,EMMANUEL GLORY,Primary,Private,Nairobi,DAGORETTI,KAWANGWARE,Dagoreti North,Kawangware,36.748015,-1.288426,"Ministry of Education, 2016"
MULTIPOINT ((249202.489909665 9858142.27255409)),42,14393,21584,EXCEL ACADEMY,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoreti North,Kabiro,36.74617,-1.28243,"Ministry of Education, 2016"
MULTIPOINT ((248556.005552183 9857425.50025216)),43,14394,21586,THE EXCELLENCE SCHOOL,Primary,Private,Nairobi,DAGORETTI,KAWANGWARE,Dagoreti North,Kabiro,36.740358,-1.288905,"Ministry of Education, 2016"
MULTIPOINT ((257279.891350218 9859416.39153092)),44,14395,21588,FOREST VIEW,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.818733,-1.270974,"Ministry of Education, 2016"
MULTIPOINT ((266315.3884737 9865414.09226741)),45,14396,21589,FOUNTAIN JUNIOR,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoreti North,Kawangware,36.899938,-1.216816,"Ministry of Education, 2016"
MULTIPOINT ((249158.535251677 9858496.55043864)),46,14397,21590,FREE METHODIST KAWANGWARE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Gatina,36.745778,-1.279227,"Ministry of Education, 2016"
MULTIPOINT ((246687.723275836 9857158.9487886)),47,14398,21593,GENTIANA PRIMARY,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoretti South,Riruta,36.723575,-1.291299,"Ministry of Education, 2016"
MULTIPOINT ((249936.32355109 9857851.44419115)),48,14399,21600,HUDUMA SCHOOL,Primary,Private,Nairobi,DAGORETTI,KAWANGWARE,Dagoretti South,Riruta,36.752759,-1.285065,"Ministry of Education, 2016"
MULTIPOINT ((248629.841186648 9856463.91554479)),49,14400,21601,JAGIET,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.741013,-1.297598,"Ministry of Education, 2016"
MULTIPOINT ((248433.478470633 9858158.83936522)),50,14401,21602,JAGIET ANNEXE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.739263,-1.282274,"Ministry of Education, 2016"
MULTIPOINT ((254626.448225597 9855123.33479459)),51,14402,21603,JAKES,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Kibra,Woodley/ Kenyatta Golf Course,36.794865,-1.309765,"Ministry of Education, 2016"
MULTIPOINT ((249821.259281367 9857726.4128207)),52,14403,21605,KABIRO,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kabiro,36.751725,-1.286194,"Ministry of Education, 2016"
MULTIPOINT ((249006.651013581 9857514.79161169)),53,14404,21607,KEDS CARE COMMUNITY,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.744406,-1.288101,"Ministry of Education, 2016"
MULTIPOINT ((244405.561787522 9860063.14994839)),54,14405,21608,KIURU MSINGI BORA,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoretti South,Uthiru/  Ruthimitu,36.7031,-1.265027,"Ministry of Education, 2016"
MULTIPOINT ((246865.293010065 9857083.13510907)),55,14406,21609,LEPIC,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.725169,-1.291986,"Ministry of Education, 2016"
MULTIPOINT ((247155.34857724 9856183.9583744)),56,14407,21610,LENANA JR COM,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Ngando,36.727767,-1.300117,"Ministry of Education, 2016"
MULTIPOINT ((249602.743863257 9856558.69636332)),57,14408,21611,LIGHT HOUSE GRACE RIRUTA,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Ngando,36.749753,-1.296749,"Ministry of Education, 2016"
MULTIPOINT ((244307.45370983 9856903.03271888)),58,14409,21617,MUTUINI EDUCATIONAL CENTRE,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Mutu-ini,36.702194,-1.293593,"Ministry of Education, 2016"
MULTIPOINT ((256887.984711095 9856248.96379488)),59,14410,21618,MWALIMU,Primary,Private,Nairobi,DAGORETTI,GATINA,Dagoreti North,Gatina,36.815188,-1.299607,"Ministry of Education, 2016"
MULTIPOINT ((250347.199178494 9859008.81528756)),60,14411,21619,MWANGAZA UNITED COMMUNITY CENTRE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Gatina,36.756459,-1.274605,"Ministry of Education, 2016"
MULTIPOINT ((252539.960763783 9856471.86119138)),61,14412,21620,NAIROBI LANGUAGE INSTITUTE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kabiro,36.776134,-1.297558,"Ministry of Education, 2016"
MULTIPOINT ((243765.901664765 9858205.95015707)),62,14413,21622,NEW HIGHLIGHT,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoretti South,Uthiru/  Ruthimitu,36.69734,-1.281811,"Ministry of Education, 2016"
MULTIPOINT ((247794.092209704 9855360.31991713)),63,14414,21623,NGANDO PREPARATORY,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Mutu-ini,36.733497,-1.307568,"Ministry of Education, 2016"
MULTIPOINT ((255126.433925616 9855114.73735431)),64,14415,21624,PEACE JUNIOR,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Kibra,Woodley/ Kenyatta Golf Course,36.799356,-1.309847,"Ministry of Education, 2016"
MULTIPOINT ((246821.216929851 9858832.04989977)),65,14416,21625,PELIDA EDUC CENTRE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Ngando,36.724787,-1.276175,"Ministry of Education, 2016"
MULTIPOINT ((246707.149062741 9859138.94837048)),66,14417,21626,PELIDA,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.723765,-1.2734,"Ministry of Education, 2016"
MULTIPOINT ((248702.919879134 9858031.65744321)),67,14418,21628,PRUDENT ACADEMY,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoreti North,Kawangware,36.741682,-1.283426,"Ministry of Education, 2016"
MULTIPOINT ((249770.317977372 9857758.78958015)),68,14419,21629,RENS COMMUNITY CENTRE,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kawangware,36.751267,-1.285901,"Ministry of Education, 2016"
MULTIPOINT ((249271.917907344 9857687.69904498)),69,14420,21631,RIRUTA GOOD SHEPHERD,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kabiro,36.74679,-1.28654,"Ministry of Education, 2016"
MULTIPOINT ((254275.244333565 9856333.74355888)),70,14421,21634,ROSE OF SHARON,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.79172,-1.29882,"Ministry of Education, 2016"
MULTIPOINT ((246057.65816939 9858123.46743176)),71,14422,21637,ST EUNICE PREP,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.717923,-1.282575,"Ministry of Education, 2016"
MULTIPOINT ((248969.4325792 9856561.95981396)),72,14423,21639,THE AMAF SCHOOLS,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.744064,-1.296715,"Ministry of Education, 2016"
MULTIPOINT ((246897.851208862 9857614.4531326)),73,14424,21640,VICTORY ALPHA,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoretti South,Riruta,36.725466,-1.287183,"Ministry of Education, 2016"
MULTIPOINT ((250792.775498687 9857395.14377388)),74,14425,21642,WORLD HOPE,Primary,Private,Nairobi,DAGORETTI,KAWANGWARE,Dagoreti North,Gatina,36.760448,-1.289197,"Ministry of Education, 2016"
MULTIPOINT ((246642.559850183 9857900.47278367)),75,14426,21645,AGAPE HOPE CENTRE,Primary,Private,Nairobi,DAGORETTI,WAITHAKA,Dagoretti South,Waithaka,36.723175,-1.284595,"Ministry of Education, 2016"
MULTIPOINT ((249223.635008037 9858658.31824199)),76,14427,21648,BETHANY SCHOOL,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoreti North,Gatina,36.746364,-1.277765,"Ministry of Education, 2016"
MULTIPOINT ((265301.195135026 9858523.32041363)),77,14428,21650,BRIGHT ANGELS EDU. AND SUPPORT CENTRE,Primary,Private,Nairobi,DAGORETTI,DAGORETTI,Dagoretti South,Waithaka,36.890778,-1.279109,"Ministry of Education, 2016"
MULTIPOINT ((268069.546314956 9859892.09868151)),78,14429,21651,BRIGHT LIGHT,Primary,Private,Nairobi,DAGORETTI,RIRUTA,Dagoreti North,Kabiro,36.915656,-1.266754,"Ministry of Education, 2016"
